Institution,GradRate,PellGradRate,FinAidAward,FinAidAvg,PellGrantAward,PellGrantAvg,InStatePrice,OutStatePrice,Enrollment,Urbanization
Langston University,9,12,94,7138,57,4619,20429,27779,2219,42
Lewis-Clark State College,22,34,96,6657,49,4347,16734,28810,3746,13
Lincoln University,29,45,99,12970,66,4911,27355,33127,2266,21
Lincoln University,9,15,93,8867,75,4975,18454,24994,2619,13
Lock Haven University,37,50,94,5921,48,4412,26484,35964,3827,32
Longwood University,54,63,89,7384,32,4336,26908,41848,5074,33
Louisiana State University and Agricultural & Mechanical College,39,55,96,11821,24,4698,29704,46381,30861,12
Louisiana State University-Alexandria,13,15,95,6288,87,4190,19171,26526,3372,41
Louisiana State University-Shreveport,16,23,97,8295,46,4977,,,5996,12
Louisiana Tech University,35,41,98,10968,31,4643,20364,29277,12314,32
Maine Maritime Academy,53,67,90,6065,30,4069,27288,40638,1037,42
Mansfield University of Pennsylvania,37,42,98,8424,52,4617,28722,38414,1882,32
Marshall University,27,36,96,10144,49,5076,21390,31448,13246,13
Massachusetts College of Art and Design,52,58,98,7345,34,4693,29700,51400,2064,11
Massachusetts College of Liberal Arts,44,47,100,6493,46,4507,24635,33580,1588,31
Massachusetts Maritime Academy,56,82,91,11129,16,4283,25659,43085,1780,22
Mayville State University,16,29,100,3927,35,4020,17072,19700,1140,43
McNeese State University,32,37,93,8421,33,4777,21366,29404,7629,13
Metropolitan State University,18,42,94,6227,75,4815,,,8148,11
Metropolitan State University of Denver,8,23,73,6160,42,4200,,,20304,11
Miami University-Hamilton,10,19,78,4106,41,4607,,,2751,21
Miami University-Middletown,12,15,81,4335,43,4416,,,1973,23
Miami University-Oxford,68,71,77,12694,12,4674,31811,51064,19700,31
Michigan State University,53,70,66,12436,21,5070,28478,53424,50019,13
Michigan Technological University,31,61,97,12314,24,4473,29100,46344,7292,33
Middle Georgia State University,11,15,90,5369,56,4823,15681,22849,7341,12
Middle Tennessee State University,21,39,95,8683,47,4951,22722,40458,21913,12
Midwestern State University,20,38,92,7734,49,4667,20146,22096,6080,12
Millersville University of Pennsylvania,37,51,90,6563,35,4327,28867,38569,7720,21
Minnesota State University Moorhead,31,39,92,4802,34,3985,21746,29156,6005,22
Minnesota State University-Mankato,25,40,89,5366,30,4231,20226,28278,14712,13
Minot State University,24,36,93,5090,27,4121,17754,17754,3216,33
Mississippi State University,31,42,96,10265,34,4703,24370,38410,21883,33
Mississippi University for Women,26,33,100,10500,61,5150,19146,30687,2789,33
Mississippi Valley State University,17,29,98,8305,87,5596,19986,19986,2385,33
Missouri Southern State University,15,27,95,5790,55,4557,17120,22621,6174,13
Missouri State University-Springfield,30,42,91,5399,31,4623,21062,28502,23697,12
Missouri University of Science and Technology,23,54,97,9173,25,4271,22012,38684,8883,33
Missouri Western State University,16,26,98,7540,49,4813,19965,25860,5533,13
Montana State University,25,46,87,6276,22,4573,21129,38121,16613,33
Montana State University Billings,12,24,87,5238,39,4452,19583,32473,4401,12
Montana State University-Northern,18,29,88,4687,47,4264,16731,29041,1236,33
Montana Technological University,18,45,93,5820,28,4249,20924,35755,1909,33
Montclair State University,47,69,81,10191,47,4915,30323,38435,21013,21
Morehead State University,28,38,99,9023,53,4459,22326,26802,10580,33
Morgan State University,13,36,94,9231,62,4842,23296,33362,7747,11
Murray State University,31,43,97,8881,36,4712,22870,37870,10012,33
Nevada State College,3,18,95,5756,48,4763,,,4216,41
New College of Florida,52,60,100,11217,35,4419,20650,43678,859,13
New Jersey City University,11,39,95,10715,74,5072,30466,39756,8283,11
New Jersey Institute of Technology,29,59,92,14602,34,5071,36498,51518,11446,11
New Mexico Highlands University,10,18,95,7512,67,5026,18720,22054,3098,33
New Mexico Institute of Mining and Technology,24,50,97,6673,32,4601,21345,35153,2009,33
New Mexico State University-Main Campus,19,41,99,12028,48,5010,20159,34720,14432,22
Nicholls State University,22,35,95,8142,37,4627,21920,23013,6327,13
Norfolk State University,15,33,97,10124,71,3581,25897,37339,5305,12
North Carolina A & T State University,26,48,97,8193,65,4853,17886,30776,11877,11
North Carolina Central University,21,44,97,10223,77,5635,22198,34905,8097,11
North Carolina State University at Raleigh,54,74,70,10332,19,4684,23700,42048,34432,11
North Dakota State University-Main Campus,32,50,90,5149,22,4065,21452,33478,14358,12
Northeastern Illinois University,3,21,85,6266,44,4934,31049,40105,8984,11
Northeastern State University,13,28,94,7019,53,4939,17291,24986,7909,33
Northern Arizona University,37,42,94,10562,38,4476,26923,40705,31051,13
Northern Illinois University,24,32,95,9959,51,4505,28848,38314,18045,23
Northern Kentucky University,22,32,99,8941,39,4960,22776,32136,14456,21
Northern Michigan University,26,39,93,8455,41,4687,23288,28784,7612,33
Northern State University,27,37,97,4779,34,4474,21324,24254,3611,33
Northern Vermont University,26,36,99,8648,50,4471,24970,37930,1552,42
Northwest Missouri State University,27,37,98,7964,39,4309,19346,24597,6338,33
Northwestern Oklahoma State University,14,26,90,6289,46,4700,16346,23463,2097,33
Northwestern State University of Louisiana,29,39,97,10065,50,5108,21399,32187,10572,33
Oakland University,26,49,92,9322,34,4506,24678,36581,19333,21
Oglala Lakota College,0,11,99,9911,93,5401,12034,12034,1246,43
